[Sat Mar 11 08:03:09.672441 2023] [php7:notice] [pid 17308:tid 1876] [client 127.0.0.1:57488] PHP Notice:  Undefined index: Submit in C:\\xampp\\htdocs\\crm\\crm\\adddripmessage.php on line 31
[Sat Mar 11 08:03:09.672441 2023] [php7:error] [pid 17308:tid 1876] [client 127.0.0.1:57488] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\adddripmessage.php:57\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\adddripmessage.php on line 57
[Sat Mar 11 08:12:19.888411 2023] [php7:notice] [pid 17308:tid 1876] [client 127.0.0.1:57661] PHP Notice:  Undefined index: cookie in C:\\xampp\\htdocs\\crm\\crm\\index.php on line 57, referer: http://tanker.com/
[Sat Mar 11 08:12:20.268400 2023] [php7:error] [pid 17308:tid 1860] [client 127.0.0.1:57666] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/schedule.php
[Sat Mar 11 08:12:25.248446 2023] [php7:error] [pid 17308:tid 1860] [client 127.0.0.1:57666] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/googlecalendar.php
[Sat Mar 11 08:12:28.637581 2023] [php7:error] [pid 17308:tid 1860] [client 127.0.0.1:57666] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/schedule.php
[Sat Mar 11 08:12:32.424073 2023] [php7:notice] [pid 17308:tid 1860] [client 127.0.0.1:57666] PHP Notice:  Undefined variable: pagesize in C:\\xampp\\htdocs\\crm\\crm\\enquiries.php on line 187, referer: http://tanker.com/schedule.php
[Sat Mar 11 08:12:32.426068 2023] [php7:notice] [pid 17308:tid 1860] [client 127.0.0.1:57666] PHP Notice:  Undefined index: display_recs in C:\\xampp\\htdocs\\crm\\crm\\enquiries.php on line 330, referer: http://tanker.com/schedule.php
[Sat Mar 11 08:12:32.426068 2023] [php7:notice] [pid 17308:tid 1860] [client 127.0.0.1:57666] PHP Notice:  Undefined index: display_recs in C:\\xampp\\htdocs\\crm\\crm\\enquiries.php on line 331, referer: http://tanker.com/schedule.php
[Sat Mar 11 08:12:32.427066 2023] [php7:notice] [pid 17308:tid 1860] [client 127.0.0.1:57666] PHP Notice:  Undefined index: display_recs in C:\\xampp\\htdocs\\crm\\crm\\enquiries.php on line 332, referer: http://tanker.com/schedule.php
[Sat Mar 11 08:12:32.427066 2023] [php7:notice] [pid 17308:tid 1860] [client 127.0.0.1:57666] PHP Notice:  Undefined index: display_recs in C:\\xampp\\htdocs\\crm\\crm\\enquiries.php on line 333, referer: http://tanker.com/schedule.php
[Sat Mar 11 08:12:32.428164 2023] [php7:notice] [pid 17308:tid 1860] [client 127.0.0.1:57666] PHP Notice:  Undefined index: display_recs in C:\\xampp\\htdocs\\crm\\crm\\enquiries.php on line 335, referer: http://tanker.com/schedule.php
[Sat Mar 11 08:12:32.754630 2023] [php7:error] [pid 17308:tid 1860] [client 127.0.0.1:57666] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/enquiries.php
[Sat Mar 11 08:12:44.494252 2023] [php7:error] [pid 17308:tid 1876] [client 127.0.0.1:57675] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/suppliers.php
[Sat Mar 11 08:12:55.637799 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57689] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 08:13:55.777450 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57697] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 08:14:55.768068 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57710] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 08:15:55.766862 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57723] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
[Sat Mar 11 08:16:55.769844 2023] [php7:error] [pid 17308:tid 1884] [client 127.0.0.1:57738] PHP Fatal error:  Uncaught Error: Call to undefined function mysql_query() in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php:24\nStack trace:\n#0 {main}\n  thrown in C:\\xampp\\htdocs\\crm\\crm\\getNotification.php on line 24, referer: http://tanker.com/supplier_new.php
